strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2020-12-20 23:00,2020-12-21 00:00,23103.6872,23679.55,127056.20111,70120698.14,3046241.59,2.389,1,grid TP hit (23450.24)
grid,long,2020-12-21 01:00,2020-12-21 02:00,23308.5278,23856.38,138821.805946,72700648.72,3353183.08,2.247,1,grid TP hit (23658.16)
grid,long,2020-12-21 03:00,2020-12-21 07:00,23586.1106,23980.0,151201.34303,55749500.11,3807098.62,1.563,4,grid TP hit (23939.90)
grid,long,2020-12-21 08:00,2020-12-21 10:00,23304.6961,22445.99,168553.799947,-148616125.45,3877940.83,-3.783,2,grid SL hit (22605.56)
grid,long,2020-12-21 11:00,2020-12-21 13:00,22306.1623,22681.32,192996.190207,67917172.92,4486843.56,1.578,2,grid TP hit (22640.75)
grid,long,2020-12-21 18:00,2020-12-22 16:00,22471.4551,23348.95,211017.308909,178884645.82,6281966.56,3.772,22,grid TP hit (22808.53)
grid,long,2020-12-22 17:00,2020-12-22 18:00,22992.4019,23435.27,227617.231182,95403461.04,5400949.66,1.823,1,grid TP hit (23337.29)
grid,long,2020-12-22 19:00,2020-12-22 20:00,23053.2059,23423.77,250109.705197,86749921.69,5931743.61,1.505,1,grid TP hit (23399.00)
grid,long,2020-12-22 21:00,2020-12-22 22:00,23083.6031,23721.94,275109.219031,169004678.85,6607700.94,2.661,1,grid TP hit (23429.86)
dca,long,2020-12-21 10:00,2020-12-22 23:00,22445.99,23810.79,287734.034893,383022126.59,9677284.24,5.931,33,DCA target hit (23792.75)
grid,long,2020-12-22 23:00,2020-12-23 00:00,23453.6282,23987.8,298539.252868,152220448.86,7250816.14,2.174,1,grid TP hit (23805.43)
grid,long,2020-12-23 01:00,2020-12-23 03:00,23353.9461,23706.72,359711.503793,118156042.68,8740769.4,1.407,2,grid TP hit (23704.26)
grid,long,2020-12-23 04:00,2020-12-23 05:00,23098.25,23533.01,400538.003268,164594214.15,9543688.15,1.779,1,grid TP hit (23444.72)
grid,long,2020-12-23 06:00,2020-12-23 07:00,23149.4404,23555.73,440288.563264,168383682.24,10500960.0,1.652,1,grid TP hit (23496.68)
grid,long,2020-12-23 08:00,2020-12-23 09:00,23150.258,23635.87,484983.639861,223907577.43,11606297.89,1.994,1,grid TP hit (23497.51)
grid,long,2020-12-23 10:00,2020-12-23 12:00,23084.4107,23843.91,535925.05217,393936662.75,13098012.43,3.184,2,grid TP hit (23430.68)
