strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2025-10-13 08:00,2025-10-14 15:00,4035.545,4154.3,0.858793,76.87,25.12,2.218,30,grid TP hit (4096.08)
grid,long,2025-10-14 16:00,2025-10-14 17:00,4093.9555,4164.2,1.520031,80.48,26.3,1.293,1,grid TP hit (4155.36)
grid,long,2025-10-14 18:00,2025-10-14 22:00,4102.131,4174.8,1.518339,84.04,26.3,1.349,3,grid TP hit (4163.66)
grid,long,2025-10-14 23:00,2025-10-15 00:00,4116.906,4180.1,1.514308,69.4,26.3,1.113,1,grid TP hit (4178.66)
grid,long,2025-10-15 01:00,2025-10-15 03:00,4137.6895,4206.0,1.50776,76.69,26.3,1.229,2,grid TP hit (4199.75)
grid,long,2025-10-15 04:00,2025-10-15 05:00,4135.818,4204.0,1.509677,76.63,26.3,1.227,1,grid TP hit (4197.86)
grid,long,2025-10-15 06:00,2025-10-15 10:00,4153.8435,4218.9,1.504353,71.56,26.3,1.145,4,grid TP hit (4216.15)
grid,long,2025-10-15 11:00,2025-10-15 14:00,4151.0855,4216.2,1.506459,71.79,26.31,1.148,3,grid TP hit (4213.35)
grid,long,2025-10-15 15:00,2025-10-15 16:00,4143.895,4215.5,1.510187,81.82,26.31,1.308,1,grid TP hit (4206.05)
grid,long,2025-10-15 17:00,2025-10-15 18:00,4150.987,4219.0,1.50896,76.32,26.31,1.218,1,grid TP hit (4213.25)
grid,long,2025-10-15 19:00,2025-10-15 22:00,4162.61,4227.4,1.505964,71.26,26.31,1.137,2,grid TP hit (4225.05)
grid,long,2025-10-15 23:00,2025-10-16 00:00,4159.852,4224.5,1.508059,71.18,26.31,1.135,1,grid TP hit (4222.25)
grid,long,2025-10-16 01:00,2025-10-16 02:00,4180.143,4253.0,1.501828,83.1,26.32,1.324,1,grid TP hit (4242.85)
grid,long,2025-10-16 03:00,2025-10-16 09:00,4185.462,4254.9,1.501292,77.93,26.32,1.24,6,grid TP hit (4248.24)
grid,long,2025-10-16 10:00,2025-10-16 13:00,4195.2135,4262.5,1.499049,74.54,26.32,1.185,3,grid TP hit (4258.14)
grid,long,2025-10-16 14:00,2025-10-16 15:00,4214.618,4289.4,1.493307,85.34,26.33,1.356,1,grid TP hit (4277.84)
grid,long,2025-10-16 16:00,2025-10-16 17:00,4232.4465,4309.5,1.488427,88.36,26.33,1.403,1,grid TP hit (4295.93)
grid,long,2025-10-16 18:00,2025-10-16 19:00,4241.41,4321.4,1.48676,92.59,26.34,1.468,1,grid TP hit (4305.03)
grid,long,2025-10-16 20:00,2025-10-16 22:00,4279.1355,4359.8,1.475216,92.66,26.34,1.468,1,grid TP hit (4343.32)
grid,long,2025-10-17 03:00,2025-10-17 04:00,4311.542,4388.4,1.465682,86.31,26.34,1.366,1,grid TP hit (4376.22)
ema,short,2025-10-20 06:00,2025-10-20 11:00,4249.2,4294.8,6.69574,-341.18,35.85,-1.199,5,golden cross — trend reversal
ema,short,2025-10-21 13:00,2025-10-22 00:00,4185.3,4088.6,6.753283,617.68,35.36,2.185,10,TP hit (4089.83)
grid,long,2025-10-17 05:00,2025-10-23 05:00,4312.724,4124.6,1.466687,-302.1,26.18,-4.776,92,grid SL hit (4183.34)
grid,long,2025-10-23 06:00,2025-10-23 08:00,4065.7845,4131.5,1.552891,75.72,26.33,1.199,2,grid TP hit (4126.77)
grid,long,2025-10-23 09:00,2025-10-23 12:00,4077.506,4142.3,1.549655,74.07,26.33,1.172,3,grid TP hit (4138.67)
