strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2025-04-14 07:00,2025-04-14 08:00,83312.0486,84763.18,0.414945,566.53,35.61,1.639,1,grid TP hit (84561.73)
grid,long,2025-04-14 09:00,2025-04-14 10:00,83176.0792,84656.85,0.416263,580.71,35.68,1.677,1,grid TP hit (84423.72)
grid,long,2025-04-14 11:00,2025-04-14 12:00,83653.6368,85128.76,0.41454,575.77,35.73,1.66,1,grid TP hit (84908.44)
grid,long,2025-04-14 13:00,2025-04-14 14:00,83111.0101,85423.6,0.417897,930.28,36.14,2.678,1,grid TP hit (84357.68)
grid,long,2025-04-14 15:00,2025-04-14 16:00,82839.6426,84341.99,0.420347,595.61,35.9,1.71,1,grid TP hit (84082.24)
grid,long,2025-04-14 17:00,2025-04-14 18:00,83586.8341,84988.04,0.417261,548.76,35.91,1.573,1,grid TP hit (84840.64)
grid,long,2025-04-14 19:00,2025-04-15 00:00,83649.2239,84930.7,0.417564,497.42,37.68,1.424,5,grid TP hit (84903.96)
grid,long,2025-04-15 01:00,2025-04-15 02:00,83708.9741,85232.83,0.417818,600.64,36.06,1.717,1,grid TP hit (84964.61)
grid,long,2025-04-15 03:00,2025-04-15 04:00,84099.2606,85490.46,0.416552,543.45,36.06,1.551,1,grid TP hit (85360.75)
grid,long,2025-04-15 05:00,2025-04-15 07:00,84262.5244,85716.77,0.416348,568.89,36.58,1.622,2,grid TP hit (85526.46)
grid,long,2025-04-15 08:00,2025-04-15 09:00,84562.25,85989.0,0.415504,556.64,36.18,1.584,1,grid TP hit (85830.68)
grid,long,2025-04-15 10:00,2025-04-15 12:00,84353.5679,85819.74,0.41715,574.92,36.69,1.634,2,grid TP hit (85618.87)
ema,long,2025-04-09 19:00,2025-04-20 11:00,82332.08,84129.83,3.346321,4833.44,1182.41,1.754,256,death cross — trend reversal
ema,long,2025-04-21 00:00,2025-04-21 14:00,86625.68,88208.37,3.448667,5100.73,357.44,1.707,14,TP hit (87875.79)
grid,long,2025-04-15 13:00,2025-04-21 23:00,84305.5984,87516.23,0.418027,1235.12,107.01,3.505,154,grid TP hit (85570.18)
grid,long,2025-04-22 00:00,2025-04-22 01:00,86394.2023,88400.01,0.739361,1416.84,66.18,2.218,1,grid TP hit (87690.12)
grid,long,2025-04-22 02:00,2025-04-24 14:00,86846.6718,93101.83,0.737067,4490.38,120.09,7.015,60,grid TP hit (88149.37)
grid,long,2025-04-24 15:00,2025-04-24 16:00,91804.4723,93346.08,0.702084,1015.98,66.36,1.576,1,grid TP hit (93181.54)
grid,long,2025-04-24 17:00,2025-04-24 18:00,91616.1108,93380.0,0.704566,1176.16,66.61,1.822,1,grid TP hit (92990.35)
grid,long,2025-04-24 19:00,2025-04-24 23:00,92152.7782,93980.47,0.701669,1213.2,69.24,1.876,4,grid TP hit (93535.07)
grid,long,2025-04-25 00:00,2025-04-25 11:00,92487.8358,94635.67,0.700369,1428.88,75.39,2.206,11,grid TP hit (93875.15)
grid,long,2025-04-25 12:00,2025-04-25 13:00,93001.0307,94400.01,0.697971,909.74,66.71,1.401,1,grid TP hit (94396.05)
grid,long,2025-04-25 14:00,2025-04-28 12:00,93937.48,95350.69,0.691913,854.12,123.7,1.314,70,grid TP hit (95346.54)
grid,long,2025-04-28 13:00,2025-04-28 14:00,92556.2145,94417.73,0.703091,1241.6,67.21,1.908,1,grid TP hit (93944.56)
grid,long,2025-04-28 15:00,2025-04-28 17:00,92426.0073,94100.39,0.705354,1113.0,68.03,1.707,2,grid TP hit (93812.40)
grid,long,2025-04-28 18:00,2025-04-28 19:00,92763.2517,94787.2,0.70392,1357.14,67.56,2.078,1,grid TP hit (94154.70)
grid,long,2025-04-28 20:00,2025-04-28 21:00,93052.6249,94549.97,0.703119,985.5,67.31,1.506,1,grid TP hit (94448.41)
grid,long,2025-04-28 22:00,2025-04-28 23:00,93387.3772,95011.18,0.701584,1071.74,67.49,1.636,1,grid TP hit (94788.19)
grid,long,2025-04-29 00:00,2025-04-29 11:00,93639.2909,95129.74,0.700771,968.63,75.83,1.476,11,grid TP hit (95043.88)
grid,long,2025-04-29 12:00,2025-04-29 13:00,93390.9429,94800.01,0.703601,923.89,67.54,1.406,1,grid TP hit (94791.81)
grid,long,2025-04-29 14:00,2025-04-29 17:00,93615.188,95231.37,0.702833,1066.46,69.44,1.621,3,grid TP hit (95019.42)
grid,long,2025-04-29 20:00,2025-04-30 03:00,93416.7302,95032.84,0.705397,1067.1,72.9,1.619,7,grid TP hit (94817.98)
grid,long,2025-04-30 04:00,2025-04-30 11:00,93628.9288,95176.66,0.704868,1017.99,72.96,1.543,7,grid TP hit (95033.36)
grid,long,2025-04-30 12:00,2025-04-30 20:00,93137.5418,94555.99,0.709609,932.74,73.81,1.411,8,grid TP hit (94534.60)
grid,long,2025-04-30 21:00,2025-05-01 00:00,93002.715,94405.47,0.711569,928.46,69.7,1.403,3,grid TP hit (94397.76)
grid,long,2025-05-01 01:00,2025-05-01 02:00,93216.9624,94867.46,0.710859,1104.99,68.28,1.668,1,grid TP hit (94615.22)
grid,long,2025-05-01 03:00,2025-05-01 04:00,93360.861,94860.51,0.710876,997.79,68.28,1.503,1,grid TP hit (94761.27)
grid,long,2025-05-01 05:00,2025-05-01 08:00,93720.7406,95210.16,0.70914,986.16,70.05,1.484,3,grid TP hit (95126.55)
