strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
Bollinger Band Bounce,Maruti,-1.95,-34.52,65482.0,39.19,-0.25,-0.05,32.5,40,5.55,-4.2,0.61,10.0,-1.03,21.5,-1.47,0.49,7332.0,6045.0,614.0,455.0,180.0,32.0,0.242,40,32.5,-1.03,0,0.0,0.0,0,0.0,0.0
Golden Cross,Power Grid,-1.03,-16.68,83323.0,26.45,-0.25,-0.04,20.0,5,12.16,-7.3,0.4,22.0,-3.41,17.7,-0.96,0.07,1081.0,903.0,77.0,69.0,27.0,5.0,0.236,4,25.0,-2.43,0,0.0,0.0,1,0.0,-7.3
Golden Cross,NTPC,-1.7,-29.81,70193.0,34.17,-0.25,-0.05,18.2,11,5.39,-5.88,0.19,49.0,-3.83,20.6,-1.57,0.14,2032.0,1675.0,169.0,128.0,50.0,9.0,0.238,9,22.2,-3.51,0,0.0,0.0,2,0.0,-5.28
Golden Cross,Grasim,-1.44,-26.76,73244.0,29.82,-0.25,-0.05,20.0,10,6.0,-5.39,0.25,43.0,-3.12,21.4,-1.32,0.12,1982.0,1644.0,153.0,125.0,49.0,9.0,0.238,10,20.0,-3.12,0,0.0,0.0,0,0.0,0.0
ADX Breakout,Adani Ports,-2.26,-33.01,66987.0,44.57,-0.25,-0.05,28.2,39,4.92,-3.31,0.54,9.0,-0.99,17.5,-1.69,0.58,7278.0,6011.0,598.0,453.0,178.0,32.0,0.242,36,30.6,-0.76,1,0.0,-5.33,2,0.0,-2.97
52-Week High Breakout,Kotak Bank,-3.14,-49.61,50387.0,61.9,-0.26,-0.05,31.6,38,5.77,-5.16,0.45,30.0,-1.71,21.5,-2.63,0.52,6112.0,4973.0,583.0,376.0,148.0,27.0,0.246,38,31.6,-1.71,0,0.0,0.0,0,0.0,0.0
Bollinger Band Bounce,Adani Ent.,-3.2,-50.23,49774.0,61.72,-0.26,-0.05,23.4,47,7.97,-4.31,0.55,7.0,-1.44,21.5,-2.51,0.69,8140.0,6675.0,721.0,504.0,198.0,36.0,0.244,45,24.4,-1.31,0,0.0,0.0,2,0.0,-4.31
Stochastic Reversal,Dr. Reddy's,-1.14,-21.82,78179.0,23.04,-0.26,-0.05,33.3,33,2.35,-2.31,0.5,3.0,-0.75,21.4,-0.76,0.38,6772.0,5639.0,506.0,424.0,167.0,30.0,0.24,31,32.3,-0.82,1,100.0,3.67,1,0.0,-3.0
Bollinger Band Bounce,Britannia,-1.73,-31.29,68713.0,44.11,-0.26,-0.04,44.9,49,3.63,-4.31,0.67,11.0,-0.75,21.5,-1.15,0.58,9246.0,7644.0,752.0,575.0,227.0,41.0,0.242,46,47.8,-0.51,0,0.0,0.0,3,0.0,-4.31
Golden Cross,UPL,-1.2,-22.87,77126.0,27.7,-0.26,-0.04,14.3,7,0.24,-4.46,0.01,15.0,-3.79,21.4,-1.12,0.09,1451.0,1208.0,107.0,92.0,36.0,6.0,0.236,7,14.3,-3.79,0,0.0,0.0,0,0.0,0.0
MACD Trend,UPL,-3.98,-58.15,41849.0,64.71,-0.26,-0.06,28.9,90,5.63,-3.54,0.55,10.0,-0.89,21.4,-2.8,1.18,12495.0,10001.0,1381.0,753.0,297.0,53.0,0.251,62,30.6,-0.31,11,18.2,-3.01,17,29.4,-1.64
Trend + RSI Pullback,Bharti Airtel,-0.62,-12.56,87438.0,20.09,-0.27,-0.03,20.0,10,2.97,-2.46,0.27,6.0,-1.38,21.4,-0.51,0.11,2082.0,1735.0,153.0,131.0,52.0,9.0,0.239,10,20.0,-1.38,0,0.0,0.0,0,0.0,0.0
MACD Trend,Power Grid,-2.94,-40.98,59017.0,46.71,-0.27,-0.06,29.9,77,3.98,-2.63,0.59,13.0,-0.66,17.7,-1.85,1.1,12937.0,10579.0,1181.0,796.0,314.0,57.0,0.245,57,33.3,-0.31,7,0.0,-3.63,13,30.8,-0.58
Trend + RSI Pullback,Power Grid,-0.9,-14.74,85259.0,17.24,-0.27,-0.05,12.5,16,5.79,-1.98,0.39,8.0,-1.01,17.7,-0.69,0.21,3291.0,2740.0,245.0,206.0,81.0,15.0,0.239,14,14.3,-0.75,0,0.0,0.0,2,0.0,-2.79
RSI Oversold Bounce,Tech Mahindra,-1.75,-28.22,71780.0,35.66,-0.27,-0.05,34.6,26,6.67,-5.31,0.65,15.0,-1.16,18.8,-1.37,0.38,5458.0,4552.0,399.0,343.0,135.0,24.0,0.239,20,35.0,-1.4,3,33.3,1.06,3,33.3,-1.83
Triple MA Momentum,Nestle,-0.97,-14.65,85350.0,22.55,-0.28,-0.04,25.0,8,2.02,-3.39,0.21,16.0,-2.03,16.2,-0.85,0.12,1758.0,1471.0,123.0,111.0,44.0,8.0,0.237,7,28.6,-1.92,0,0.0,0.0,1,0.0,-2.86
ADX Breakout,Power Grid,-1.46,-22.8,77201.0,22.8,-0.28,-0.06,17.9,28,4.36,-2.08,0.43,9.0,-0.93,17.7,-1.07,0.39,5554.0,4611.0,430.0,347.0,137.0,25.0,0.24,26,19.2,-0.87,0,0.0,0.0,2,0.0,-1.65
