date,equity
2021-10-01,321937.32
2021-10-04,322947.81
2021-10-05,323212.05
2021-10-06,322286.6
2021-10-07,323161.27
2021-10-08,323433.67
2021-10-11,324186.34
2021-10-12,324431.3
2021-10-13,325053.29
2021-10-14,326064.31
2021-10-18,334703.75
2021-10-19,333744.52
2021-10-20,332768.86
2021-10-21,332237.77
2021-10-22,331692.69
2021-10-25,331581.54
2021-10-26,332548.78
2021-10-27,332523.28
2021-10-28,330469.65
2021-10-29,330122.03
2021-11-01,331637.45
2021-11-02,332008.91
2021-11-03,331456.07
2021-11-04,332714.61
2021-11-08,333152.0
2021-11-09,333197.86
2021-11-10,332543.72
2021-11-11,331799.3
2021-11-12,332308.53
2021-11-15,332842.6
2021-11-16,332389.95
2021-11-17,332192.56
2021-11-18,331338.26
2021-11-22,329725.28
2021-11-23,330201.89
2021-11-24,330053.17
2021-11-25,330383.23
2021-11-26,328196.89
2021-11-29,327320.17
2021-11-30,327560.6
2021-12-01,328015.36
2021-12-02,328743.11
2021-12-03,328003.67
2021-12-06,326254.62
2021-12-07,327572.74
2021-12-08,329210.29
2021-12-09,329632.36
2021-12-10,329973.65
2021-12-13,329834.86
2021-12-14,329282.75
2021-12-15,328734.92
2021-12-16,328702.37
2021-12-17,326545.75
2021-12-20,324225.92
2021-12-21,324585.2
2021-12-22,325732.41
2021-12-23,326756.31
2021-12-24,326375.98
2021-12-27,326623.48
2021-12-28,327771.46
2021-12-29,327896.58
2021-12-30,327781.15
2021-12-31,328644.52
2022-01-03,329689.95
2022-01-04,330454.9
2022-01-05,330750.43
2022-01-06,329740.67
2022-01-07,330400.23
2022-01-10,331337.45
2022-01-11,331333.22
2022-01-12,332515.63
2022-01-13,333099.55
2022-01-14,332726.13
2022-01-17,332910.53
2022-01-18,331501.56
2022-01-19,330896.73
2022-01-20,330448.82
2022-01-21,328848.76
2022-01-24,326009.03
2022-01-25,326787.43
2022-01-27,325490.16
2022-01-28,325699.67
2022-01-31,327898.48
2022-02-01,329474.69
2022-02-02,331644.0
2022-02-03,330292.42
2022-02-04,329801.15
2022-02-07,328569.43
2022-02-08,328141.12
2022-02-09,329564.37
2022-02-10,330580.84
2022-02-11,328817.44
2022-02-14,319160.87
2022-02-15,327577.12
2022-02-16,327800.91
2022-02-17,327486.99
2022-02-18,326882.85
2022-02-21,325251.14
2022-02-22,324241.92
2022-02-23,324540.46
