date,code,qty,avg,fill,sell_value,charges,growth,pnl_pct,ticket_after
2021-08-18,NSE:MIDSELIETF,690,9.252,9.8302,6782.84,22.37,376.59,0.0625,6487.01
2021-08-20,NSE:ALPL30IETF,404,15.839,16.996,6866.38,22.45,444.98,0.073,6495.91
2021-08-24,NSE:MON100,60,105.41,112.3675,6742.05,22.33,395.12,0.066,6503.81
2021-09-01,NSE:CONSUMBEES,92,69.78,75.0549,6905.05,22.49,462.8,0.0756,6513.07
2021-09-02,NSE:HDFCSENSEX,111,58.013,61.6603,6844.29,22.43,382.42,0.0629,6520.71
2021-09-03,NSE:MIDSELIETF,668,9.699,10.3217,6894.9,22.48,393.48,0.0642,6528.58
2021-09-13,NSE:ALPL30IETF,381,17.038,18.4276,7020.92,22.61,506.83,0.0816,6538.72
2021-09-15,NSE:ICICIB22,158,40.35,43.5364,6878.75,22.47,480.98,0.079,6548.34
2021-09-16,NSE:LOWVOLIETF,479,13.517,14.4296,6911.78,22.5,414.64,0.0675,6556.63
2021-09-21,NSE:NV20IETF,715,9.034,9.6653,6910.69,22.5,428.88,0.0699,6565.21
2021-09-23,NSE:NIFTYBEES,36,178.91,192.0977,6915.52,22.5,452.26,0.0737,6574.26
2021-09-27,NSE:BANKBEES,17,357.81,383.4462,6518.59,22.09,413.73,0.0716,6582.53
2021-09-28,NSE:CPSEETF,238,26.8,29.3706,6990.2,22.58,589.22,0.0959,6594.31
2021-10-12,NSE:ICICIB22,148,44.15,46.923,6944.6,22.53,387.87,0.0628,6602.07
2021-10-13,NSE:MIDSELIETF,632,10.327,11.0709,6996.81,22.59,447.56,0.072,6611.02
2021-10-14,NSE:CONSUMBEES,85,75.79,81.5983,6935.86,22.53,471.18,0.0766,6620.45
2021-10-18,NSE:MOM100,217,29.58,34.8451,7561.39,23.17,1119.36,0.178,6642.83
2021-10-19,NSE:PVTBANIETF,333,18.821,20.2807,6753.47,22.34,463.74,0.0776,6652.11
2021-10-20,NSE:PSUBNKBEES,215,27.82,30.0699,6465.03,22.04,461.69,0.0809,6661.34
2021-10-22,NSE:HDFCSENSEX,105,61.731,65.909,6920.45,22.51,416.18,0.0677,6669.67
2021-10-25,NSE:BANKBEES,17,382.85,414.2154,7041.66,22.64,510.57,0.0819,6679.88
2021-10-26,NSE:MAFANG,120,53.49,57.6423,6917.08,22.51,475.77,0.0776,6689.39
2021-11-08,NSE:PSUBNKBEES,215,30.93,32.977,7090.05,22.69,417.41,0.0662,6697.74
2021-11-22,NSE:MON100,57,113.02,121.1687,6906.62,22.5,441.98,0.0721,6706.58
2021-12-13,NSE:MASPTOP50,229,28.99,31.1688,7137.66,22.73,476.22,0.0752,6716.11
2022-01-12,NSE:MAHKTECH,390,17.19,19.3007,7527.27,23.14,800.03,0.1228,6732.11
2022-01-31,NSE:CPSEETF,214,30.71,32.6773,6992.94,22.59,398.41,0.0641,6740.07
2022-04-01,NSE:ALPHA,199,33.76,35.9041,7144.92,22.74,403.94,0.0635,6748.15
2022-04-04,NSE:MIDCAP,86,78.15,84.1658,7238.26,22.84,494.52,0.077,6758.04
2022-04-05,NSE:CPSEETF,206,32.65,35.4945,7311.87,22.92,563.05,0.0871,6769.3
2022-04-06,NSE:ICICIB22,138,47.63,51.1388,7057.15,22.65,461.56,0.0737,6778.54
2022-07-21,NSE:FMCGIETF,161,40.419,43.0319,6928.14,22.52,398.16,0.0646,6786.5
2022-08-30,NSE:CONSUMBEES,81,81.42,86.7831,7029.43,22.62,411.79,0.0659,6794.73
2022-09-09,NSE:ICICIB22,132,51.0,54.1957,7153.83,22.75,399.08,0.0627,6802.72
2022-09-14,NSE:PSUBNKBEES,202,33.14,35.7442,7220.33,22.82,503.23,0.0786,6812.78
2022-09-15,NSE:MIDCAP,80,84.13,89.6503,7172.02,22.77,418.85,0.0656,6821.16
2022-10-24,NSE:MOVALUE,170,39.98,42.8071,7277.21,22.88,457.73,0.0707,6830.31
2022-10-27,NSE:PSUBNKBEES,189,35.88,38.2217,7223.9,22.82,419.76,0.0653,6838.71
2022-11-01,NSE:CPSEETF,187,36.14,38.7412,7244.6,22.85,463.57,0.072,6847.98
2022-11-07,NSE:PSUBNKBEES,179,38.11,40.949,7329.87,22.93,485.25,0.0745,6857.68
2022-11-09,NSE:MOVALUE,157,43.24,46.0039,7222.61,22.82,411.11,0.0639,6865.91
2022-11-24,NSE:PVTBANIETF,328,20.249,21.5854,7080.01,22.68,415.66,0.066,6874.22
2022-11-30,NSE:FMCGIETF,156,43.29,46.3326,7227.89,22.83,451.82,0.0703,6883.26
2022-12-01,NSE:MOVALUE,152,45.15,48.6913,7401.08,23.01,515.27,0.0784,6893.56
2022-12-02,NSE:PSUBNKBEES,161,42.47,45.5044,7326.21,22.93,465.61,0.0714,6902.87
2022-12-08,NSE:BANKBEES,16,413.72,440.0595,7040.95,22.63,398.8,0.0637,6910.85
2022-12-12,NSE:ICICIB22,124,54.5,58.0719,7200.92,22.8,420.12,0.0655,6919.25
2022-12-13,NSE:PSUBNKBEES,149,46.09,50.0399,7455.95,23.06,565.48,0.0857,6930.56
2023-02-02,NSE:NV20IETF,674,9.729,10.3576,6981.02,22.57,401.11,0.0646,6938.58
2023-04-17,NSE:CPSEETF,177,38.66,41.2387,7299.25,22.9,433.53,0.0667,6947.25
2023-04-28,NSE:ICICIB22,118,58.47,62.2976,7351.12,22.96,428.7,0.0655,6955.83
2023-05-02,NSE:HDFCSML250,78,88.7,94.8351,7397.14,23.0,455.54,0.0692,6964.94
