strategy,instrument,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,pnl,pnl_pct,cost_stt,cost_txn,cost_dp,cost_stamp,cost_gst,reason,regime,duration
ADX Breakout,Bank Nifty,2012-05-28,2012-05-30,9703.04,9529.17,10,-1738.64,229.15,-1967.79,-2.03,192.32,5.71,15.34,14.55,1.0282,Signal,bull,2
ADX Breakout,Bank Nifty,2012-09-10,2012-09-11,10074.77,10130.71,9,503.52,217.35,286.17,0.32,181.85,5.4,15.34,13.6,0.9722,Signal,bull,1
ADX Breakout,Bank Nifty,2012-12-26,2013-01-17,12485.54,12643.13,7,1103.08,210.69,892.39,1.02,175.9,5.22,15.34,13.11,0.9404,Signal,bull,22
ADX Breakout,Bank Nifty,2013-03-08,2013-03-13,12203.21,11771.47,8,-3453.86,228.69,-3682.55,-3.77,191.8,5.7,15.34,14.64,1.0253,Signal,bull,5
ADX Breakout,Bank Nifty,2013-05-07,2013-05-23,12637.67,12630.04,7,-53.44,211.86,-265.3,-0.3,176.87,5.25,15.34,13.27,0.9456,Signal,bull,16
ADX Breakout,Bank Nifty,2013-05-27,2013-05-29,12967.88,12846.62,7,-848.79,216.17,-1064.96,-1.17,180.7,5.37,15.34,13.62,0.966,Signal,bull,2
ADX Breakout,Bank Nifty,2014-01-22,2014-01-24,11212.82,10976.78,8,-1888.34,212.71,-2101.05,-2.34,177.52,5.27,15.34,13.46,0.949,Signal,bull,2
ADX Breakout,Bank Nifty,2014-06-17,2014-06-23,15380.71,15068.64,6,-1872.43,218.46,-2090.89,-2.27,182.7,5.43,15.34,13.84,0.9767,Signal,bull,6
ADX Breakout,Bank Nifty,2014-09-18,2014-09-24,16164.74,15732.25,5,-2162.47,192.7,-2355.17,-2.91,159.48,4.74,15.34,12.12,0.8526,Signal,bull,6
ADX Breakout,Bank Nifty,2017-01-06,2017-03-22,18272.92,20770.72,4,9991.19,188.11,9803.08,13.41,156.17,4.64,15.34,10.96,0.8349,Signal,bull,75
ADX Breakout,Bank Nifty,2017-05-25,2017-06-27,23202.13,23204.37,4,8.98,221.58,-212.6,-0.23,185.63,5.51,15.34,13.92,0.9924,Signal,bull,33
ADX Breakout,Bank Nifty,2017-10-13,2017-10-18,24701.21,24301.31,3,-1199.69,178.76,-1378.45,-1.86,147.01,4.37,15.34,11.12,0.7859,Signal,bull,5
ADX Breakout,Bank Nifty,2018-01-08,2018-01-10,25688.64,25604.2,3,-253.33,186.33,-439.66,-0.57,153.88,4.57,15.34,11.56,0.8226,Signal,bull,2
ADX Breakout,Bank Nifty,2018-02-26,2018-02-28,25700.45,25094.56,3,-1817.67,184.78,-2002.45,-2.6,152.39,4.53,15.34,11.57,0.8147,Signal,bull,2
ADX Breakout,Bank Nifty,2019-05-17,2019-06-06,29464.53,30841.61,3,4131.24,216.04,3915.2,4.43,180.92,5.37,15.34,13.26,0.9672,Signal,bull,20
ADX Breakout,Bank Nifty,2020-02-06,2020-02-10,31319.34,31042.26,3,-831.24,223.26,-1054.5,-1.12,187.08,5.56,15.34,14.09,1.0002,Signal,bull,4
