strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,total_costs,expectancy,avg_rsi_entry,years,bull_wr,bull_pnl,bear_wr,bear_pnl,sideways_wr,sideways_pnl
GFS Advanced,Dr. Reddy's,0.17,3.35,103349.0,8.02,0.16,0.02,30.0,10,5.43,-1.74,1.28,5.7,2308.0,0.41,42.3,20.0,30.0,0.41,0.0,0.0,0.0,0.0
GFS Advanced,Titan,0.12,2.49,102492.0,8.07,0.14,0.02,50.0,8,3.96,-3.17,1.19,6.2,1922.0,0.4,39.4,20.0,50.0,0.4,0.0,0.0,0.0,0.0
GFS Advanced,JSW Steel,0.0,0.06,100065.0,18.57,0.05,0.0,42.9,7,7.06,-4.91,1.0,6.7,1669.0,0.22,39.2,20.0,42.9,0.22,0.0,0.0,0.0,0.0
GFS Advanced,Britannia,0.01,0.27,100268.0,7.57,0.04,0.0,63.6,11,1.89,-3.2,1.02,13.9,2518.0,0.04,41.2,20.0,63.6,0.04,0.0,0.0,0.0,0.0
GFS Advanced,ONGC,0.0,0.05,100048.0,3.55,0.02,0.0,66.7,3,0.57,-1.07,1.05,16.0,684.0,0.02,38.3,20.0,66.7,0.02,0.0,0.0,0.0,0.0
GFS Advanced,Power Grid,-0.08,-1.34,98661.0,8.13,-0.08,-0.01,33.3,6,3.13,-1.88,0.82,8.7,1379.0,-0.21,41.8,16.2,33.3,-0.21,0.0,0.0,0.0,0.0
GFS Advanced,Bajaj Finserv,-0.13,-2.5,97498.0,12.39,-0.08,-0.01,44.4,9,4.06,-3.62,0.85,5.9,1936.0,-0.21,41.1,20.0,44.4,-0.21,0.0,0.0,0.0,0.0
GFS Advanced,Wipro,-0.12,-2.45,97553.0,9.16,-0.11,-0.01,25.0,4,5.38,-2.59,0.67,6.5,905.0,-0.6,40.3,20.0,25.0,-0.59,0.0,0.0,0.0,0.0
GFS Advanced,Grasim,-0.28,-5.37,94627.0,13.44,-0.21,-0.02,42.9,7,3.77,-4.13,0.65,6.9,1506.0,-0.74,41.5,20.0,42.9,-0.74,0.0,0.0,0.0,0.0
GFS Advanced,Tech Mahindra,-0.36,-6.04,93964.0,12.72,-0.26,-0.03,28.6,7,5.98,-3.57,0.63,6.4,1532.0,-0.84,40.0,17.4,28.6,-0.84,0.0,0.0,0.0,0.0
GFS Basic,Adani Ports,-1.81,-25.49,74509.0,29.7,-0.28,-0.06,50.0,30,5.3,-6.78,0.71,13.1,6017.0,-0.74,40.9,16.1,53.6,-0.54,0.0,0.0,0.0,-3.52
GFS Advanced,ICICI Bank,-0.23,-4.54,95456.0,10.6,-0.29,-0.02,33.3,6,1.98,-2.17,0.44,6.7,1326.0,-0.78,38.9,20.0,33.3,-0.78,0.0,0.0,0.0,0.0
GFS Advanced,SBI,-0.23,-4.51,95487.0,8.81,-0.31,-0.03,50.0,4,2.47,-4.74,0.49,9.2,874.0,-1.14,40.4,20.0,33.3,-2.91,0.0,0.0,100.0,4.18
GFS Advanced,Coal India,-0.48,-6.1,93901.0,7.62,-0.32,-0.06,33.3,3,8.06,-6.94,0.54,4.0,665.0,-1.94,40.4,13.1,33.3,-1.94,0.0,0.0,0.0,0.0
GFS Advanced,HUL,-0.6,-11.25,88749.0,16.97,-0.4,-0.04,22.2,9,4.94,-3.11,0.45,5.6,2040.0,-1.32,41.2,20.0,22.2,-1.32,0.0,0.0,0.0,0.0
GFS Advanced,TCS,-0.78,-14.55,85450.0,15.52,-0.42,-0.05,27.3,11,5.81,-4.08,0.5,5.7,2272.0,-1.38,42.0,20.0,27.3,-1.38,0.0,0.0,0.0,0.0
GFS Advanced,Bajaj Auto,-0.66,-12.42,87582.0,13.51,-0.45,-0.05,33.3,12,3.26,-3.31,0.46,8.1,2458.0,-1.12,40.4,20.0,36.4,-1.05,0.0,0.0,0.0,-1.88
GFS Advanced,Tata Steel,-0.65,-12.28,87716.0,19.04,-0.46,-0.03,25.0,4,8.78,-7.15,0.35,4.8,810.0,-3.17,41.4,20.0,25.0,-3.17,0.0,0.0,0.0,0.0
GFS Advanced,Tata Consumer,-0.43,-8.2,91800.0,11.57,-0.47,-0.04,40.0,5,1.74,-4.06,0.27,9.8,1067.0,-1.74,40.5,20.0,40.0,-1.74,0.0,0.0,0.0,0.0
GFS Advanced,Reliance,-0.6,-11.34,88661.0,14.97,-0.51,-0.04,44.4,9,2.49,-4.38,0.43,10.0,1917.0,-1.33,40.1,20.0,44.4,-1.33,0.0,0.0,0.0,0.0
GFS Advanced,UltraCemco,-0.58,-10.91,89085.0,13.29,-0.55,-0.04,33.3,6,2.52,-4.21,0.27,16.5,1198.0,-1.97,39.8,20.0,33.3,-1.97,0.0,0.0,0.0,0.0
GFS Advanced,Hero MotoCorp,-0.34,-6.49,93514.0,7.9,-0.57,-0.04,25.0,4,1.23,-2.73,0.14,9.5,854.0,-1.74,42.4,20.0,25.0,-1.74,0.0,0.0,0.0,0.0
GFS Advanced,HCL Tech,-0.4,-7.67,92327.0,10.45,-0.58,-0.04,42.9,7,1.1,-2.87,0.27,6.6,1506.0,-1.17,41.4,20.0,42.9,-1.17,0.0,0.0,0.0,0.0
GFS Advanced,Shree Cement,-0.76,-14.11,85889.0,17.81,-0.59,-0.04,50.0,6,2.68,-7.47,0.27,6.0,1094.0,-2.4,40.4,20.0,50.0,-2.4,0.0,0.0,0.0,0.0
GFS Basic,ICICI Bank,-3.3,-48.82,51176.0,50.76,-0.6,-0.07,48.2,56,3.2,-5.13,0.51,12.3,7997.0,-1.12,41.5,20.0,49.1,-1.07,0.0,-3.62,0.0,0.0
GFS Advanced,Bharti Airtel,-0.61,-11.42,88581.0,14.14,-0.62,-0.04,25.0,4,0.09,-4.15,0.01,8.8,853.0,-3.09,39.9,20.0,25.0,-3.09,0.0,0.0,0.0,0.0
GFS Basic,ITC,-3.46,-50.46,49543.0,50.73,-0.65,-0.07,41.4,58,3.63,-4.48,0.51,12.1,9011.0,-1.12,41.5,20.0,42.9,-1.11,0.0,-1.75,0.0,-1.35
GFS Basic,Coal India,-2.55,-28.73,71274.0,39.58,-0.67,-0.06,52.9,17,4.17,-8.57,0.5,11.4,3181.0,-1.83,41.6,13.1,52.9,-1.83,0.0,0.0,0.0,0.0
GFS Basic,IndusInd Bank,-3.98,-55.56,44437.0,55.56,-0.69,-0.07,56.9,51,3.07,-7.37,0.5,12.1,7856.0,-1.44,41.3,20.0,57.1,-1.57,0.0,0.0,50.0,1.95
GFS Basic,Hero MotoCorp,-2.8,-43.26,56744.0,43.8,-0.7,-0.06,44.7,47,4.57,-5.68,0.61,11.7,8289.0,-1.1,40.6,20.0,44.2,-1.13,33.3,-2.09,100.0,2.95
GFS Basic,ONGC,-3.27,-48.56,51439.0,50.13,-0.74,-0.07,37.5,32,2.75,-4.93,0.33,19.0,5457.0,-2.05,40.7,20.0,36.7,-2.18,0.0,0.0,50.0,-0.12
GFS Basic,Axis Bank,-3.83,-54.14,45858.0,59.33,-0.75,-0.06,38.8,49,3.74,-4.84,0.4,14.4,6787.0,-1.51,40.4,20.0,37.0,-1.52,50.0,-3.74,100.0,3.02
GFS Basic,M&M,-3.09,-46.57,53432.0,62.53,-0.76,-0.05,54.2,48,2.96,-6.12,0.54,13.5,7935.0,-1.2,41.3,20.0,52.2,-1.31,0.0,0.0,100.0,1.29
